Reporting level,Province/territory,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Alberta,Bladder Cancer Surgery,50th Percentile,2013,Hours,672.0
Provincial,Alberta,Bladder Cancer Surgery,Volume,2013,Number of cases,477.0
Provincial,Alberta,Breast Cancer Surgery,50th Percentile,2013,Hours,360.0
Provincial,Alberta,Breast Cancer Surgery,Volume,2013,Number of cases,1169.0
Provincial,Alberta,CABG,50th Percentile,2013,Hours,288.0
Provincial,Alberta,CABG,Volume,2013,Number of cases,465.0
Provincial,Alberta,Cataract surgery,50th Percentile,2013,Hours,1896.0
Provincial,Alberta,Cataract surgery,Volume,2013,Number of cases,10514.0
Provincial,Alberta,Colorectal Cancer Surgery,50th Percentile,2013,Hours,480.0
Provincial,Alberta,Colorectal Cancer Surgery,Volume,2013,Number of cases,476.0
Provincial,Alberta,CT Scan,50th Percentile,2013,Hours,312.0
Provincial,Alberta,CT Scan,Volume,2013,Number of cases,65318.0
Provincial,Alberta,Hip Fracture Repair,50th Percentile,2013,Hours,22.0
Provincial,Alberta,Hip Fracture Repair,Volume,2013,Number of cases,1300.0
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2013,Hours,28.0
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2013,Number of cases,1122.0
Provincial,Alberta,Hip Replacement,50th Percentile,2013,Hours,2592.0
Provincial,Alberta,Hip Replacement,Volume,2013,Number of cases,1865.0
Provincial,Alberta,Knee Replacement,50th Percentile,2013,Hours,3048.0
Provincial,Alberta,Knee Replacement,Volume,2013,Number of cases,2962.0
Provincial,Alberta,Lung Cancer Surgery,50th Percentile,2013,Hours,984.0
Provincial,Alberta,Lung Cancer Surgery,Volume,2013,Number of cases,253.0
Provincial,Alberta,MRI Scan,50th Percentile,2013,Hours,1920.0
Provincial,Alberta,MRI Scan,Volume,2013,Number of cases,55288.0
Provincial,Alberta,Prostate Cancer Surgery,50th Percentile,2013,Hours,984.0
Provincial,Alberta,Prostate Cancer Surgery,Volume,2013,Number of cases,633.0
Provincial,Alberta,Radiation Therapy,50th Percentile,2013,Hours,168.0
Provincial,Alberta,Radiation Therapy,Volume,2013,Number of cases,3556.0
Provincial,British Columbia,Bladder Cancer Surgery,50th Percentile,2013,Hours,528.0
Provincial,British Columbia,Bladder Cancer Surgery,Volume,2013,Number of cases,1520.0
Provincial,British Columbia,Breast Cancer Surgery,50th Percentile,2013,Hours,336.0
Provincial,British Columbia,Breast Cancer Surgery,Volume,2013,Number of cases,1713.0
